# L (m)  = 0.7
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
   4.3750000000e-02   3.7624259582e-02   3.0000695930e+02  -1.0788703474e+06   1.1343776405e-01   1.1018503914e+00   2.6403600834e-03   1.2125441319e-24   3.3218692958e-25   1.4099990782e-01   1.8881045756e-21   4.4239734712e-02   2.0547024723e-07   3.3529771002e-35   2.3770807852e-39   6.0091069387e-19   7.4199244282e-03   2.8534447213e-02   3.8023222040e-02   6.3366678685e-27   5.3350380429e-09   6.0512094479e-29   7.3814219290e-01
   4.7250000000e-02   4.0560985762e-02   3.0000673471e+02  -1.1550221644e+06   1.2150215480e-01   1.0966826148e+00   2.8517119567e-03   1.4227631236e-24   3.9806650438e-25   1.3446083841e-01   1.9926554203e-21   4.7313473573e-02   2.1700814507e-07  -6.4033884090e-36   2.6805532864e-39   6.5973753430e-19   8.1470601589e-03   3.0778934722e-02   4.0558034546e-02   8.6203978557e-27   5.7013231677e-09   7.1618177698e-29   7.3588972392e-01
   5.0750000000e-02   4.3485621717e-02   3.0000645528e+02  -1.2291304845e+06   1.2936414928e-01   1.0915782943e+00   3.0629989708e-03   1.6518323179e-24   4.5112747344e-25   1.2808528074e-01   2.0881667361e-21   5.0294135094e-02   2.2759041105e-07  -8.9123580644e-35   3.0026530269e-39   7.2082495261e-19   8.9038081974e-03   3.3014416642e-02   4.2992598570e-02   1.1537591662e-26   6.0558124918e-09   8.3750044829e-29   7.3364652814e-01
   5.4250000000e-02   4.6398024822e-02   3.0000613533e+02  -1.3011258807e+06   1.3701597537e-01   1.0865377000e+00   3.2741341304e-03   1.9002812187e-24   4.9659888504e-25   1.2187919566e-01   2.1744542298e-21   5.3178354240e-02   2.3719598042e-07  -1.5349896588e-34   3.3313126031e-39   7.8429438024e-19   9.6918704123e-03   3.5239597936e-02   4.5323889065e-02   1.5224654106e-26   6.3981905608e-09   9.6912921512e-29   7.3141271496e-01
   5.7750000000e-02   4.9298105917e-02   3.0000578769e+02  -1.3709495049e+06   1.4445076752e-01   1.0815612239e+00   3.4850141760e-03   2.1686480919e-24   5.3597300068e-25   1.1584776565e-01   2.2513979800e-21   5.5963227086e-02   2.4581076360e-07   1.4967370475e-34   3.6483794926e-39   8.5025854772e-19   1.0512861530e-02   3.7453050522e-02   4.7549475735e-02   1.9841622871e-26   6.7282142720e-09   1.1110860657e-28   7.2918835276e-01
   6.1250000000e-02   5.2185833720e-02   3.0000542358e+02  -1.4385530787e+06   1.5166257301e-01   1.0766493582e+00   3.6955206084e-03   2.4574740955e-24   5.9791454062e-25   1.0999539166e-01   2.3189445236e-21   5.8646311178e-02   2.5342747745e-07  -2.2088777859e-34   3.9715529593e-39   9.1882117555e-19   1.1368309315e-02   3.9653224991e-02   4.9667516234e-02   2.5575650951e-26   7.0457113003e-09   1.2633572007e-28   7.2697346554e-01
   6.4750000000e-02   5.5061238295e-02   3.0000505251e+02  -1.5038987918e+06   1.5864635045e-01   1.0718026747e+00   3.9055208422e-03   2.7673013152e-24   6.7028473651e-25   1.0432569689e-01   2.3771059405e-21   6.1225621962e-02   2.6004541411e-07   2.5401463657e-34   4.3266446561e-39   9.9007842374e-19   1.2259655035e-02   4.1838463489e-02   5.1676744158e-02   3.2644982315e-26   7.3505778183e-09   1.4258997641e-28   7.2476803023e-01
   6.8250000000e-02   5.7924413570e-02   3.0000468239e+02  -1.5669591110e+06   1.6539796069e-01   1.0670218035e+00   4.1148694658e-03   3.0986577173e-24   7.5040216681e-25   9.8841536989e-02   2.4259515736e-21   6.3699625493e-02   2.6567015349e-07   8.3916758927e-35   4.6236306993e-39   1.0641168818e-18   1.3188254216e-02   4.4007013525e-02   5.3576452205e-02   4.1303291014e-26   7.6427755784e-09   1.5986447584e-28   7.2257197479e-01
   7.1750000000e-02   6.0775518957e-02   3.0000431955e+02  -1.6277165090e+06   1.7191415078e-01   1.0623074130e+00   4.3234095885e-03   3.4520621330e-24   8.1649022657e-25   9.3545016360e-02   2.4656104121e-21   6.6067227721e-02   2.7031322643e-07  -1.6987485400e-34   4.9332190183e-39   1.1410149139e-18   1.4155377669e-02   4.6157042478e-02   5.5366470988e-02   5.1844798530e-26   7.9223284284e-09   1.7815000803e-28   7.2038517696e-01
   7.5250000000e-02   6.3614780103e-02   3.0000396893e+02  -1.6861631201e+06   1.7819253147e-01   1.0576601909e+00   4.5309742520e-03   3.8280121318e-24   8.7586104723e-25   8.8437509894e-02   2.4962619302e-21   6.8327760646e-02   2.7399173540e-07  -7.2654032655e-34   5.2448813980e-39   1.2208420142e-18   1.5162212791e-02   4.8286652582e-02   5.7047143993e-02   6.4609830516e-26   8.1893183410e-09   1.9743536074e-28   7.1820746366e-01
