# L (m)  = 2
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
   1.2500000000e-01   4.6514507096e-02   3.0000000000e+02  -2.6757398532e+05   8.2751617899e-03   1.1252452346e+00   3.7815016759e-04   2.3286834435e-28   2.0769070480e-24   2.1652410128e-01   3.2212554328e-24   2.5434469546e-03   4.8166564004e-10   4.9801104619e-31  -1.6768975424e-36   4.1403150931e-19   4.3877363090e-02   3.2924704081e-03   2.0610942595e-03  -1.0704990595e-30   2.9850934428e-10   5.1668406905e-33   7.3132337306e-01
   1.3500000000e-01   5.0276566564e-02   3.0000000000e+02  -2.8929807166e+05   8.9333769541e-03   1.1216337724e+00   4.0822975365e-04   2.6776713617e-28  -3.2337628407e-25   2.1519908983e-01   3.3853947499e-24   2.7457508147e-03   5.1996159605e-10  -1.4040367811e-29  -9.1291244516e-36   4.6536476061e-19   4.7429658920e-02   3.5543624177e-03   2.2250339680e-03  -2.0840325826e-29   3.2225247371e-10   1.1096785384e-30   7.2843787344e-01
   1.4500000000e-01   5.4045174979e-02   3.0000000000e+02  -3.1104366715e+05   9.5902081117e-03   1.1180406240e+00   4.3824634871e-04   3.0729662481e-28   1.1005333781e-24   2.1387349598e-01   3.5666182397e-24   2.9476282411e-03   5.5817331090e-10   4.7292973248e-30   1.0024629222e-35   5.1900917086e-19   5.0988944210e-02   3.8157049952e-03   2.3886285267e-03   5.7145744838e-30   3.4594553707e-10   7.0310444599e-33   7.2554735079e-01
   1.5500000000e-01   5.7820440514e-02   3.0000000000e+02  -3.3281020125e+05   1.0245488766e-02   1.1144656622e+00   4.6819236154e-04   3.3373652342e-28  -3.0626525448e-24   2.1254740798e-01   3.7100057797e-24   3.1490279891e-03   5.9629084491e-10  -1.7174923738e-29  -1.0277000289e-30   5.7378307693e-19   5.4555380155e-02   4.0764319789e-03   2.5518364369e-03  -1.4129426576e-29   3.6958251881e-10   8.0591119075e-33   7.2265172212e-01
   1.6500000000e-01   6.1602472587e-02   3.0000000000e+02  -3.5459711498e+05   1.0899053317e-02   1.1109087593e+00   4.9806024143e-04   3.1725609763e-28   1.4707039426e-24   2.1122091321e-01   3.9272040535e-24   3.3498990904e-03   6.3430431551e-10   9.9695065466e-29  -2.7523881915e-36   6.3279001856e-19   5.8129128913e-02   4.3364775615e-03   2.7146164235e-03   5.7188068056e-29   3.9315743588e-10   1.0144984567e-29   7.1975090352e-01
   1.7500000000e-01   6.5391381836e-02   3.0000000000e+02  -3.7640386095e+05   1.1550737079e-02   1.1073697874e+00   5.2784247925e-04   5.2719261324e-28  -3.3489164749e-24   2.0989409813e-01   4.0482664681e-24   3.5501908602e-03   6.7220389885e-10   5.4819155194e-30   1.5190383106e-35   6.9069908366e-19   6.1710353567e-02   4.5957762990e-03   2.8769274405e-03   4.8523927502e-30   4.1666433851e-10   3.9081312623e-30   7.1684481013e-01
   1.8500000000e-01   6.9187280083e-02   3.0000000000e+02  -3.9822990337e+05   1.2200376309e-02   1.1038486180e+00   5.5753160844e-04   5.0515691257e-28  -2.1304184947e-24   2.0856704827e-01   4.2056175184e-24   3.7498529041e-03   7.0997983126e-10   1.6449073573e-29  -3.5821435625e-36   7.5058129443e-19   6.5299218088e-02   4.8542631196e-03   3.0387286768e-03   6.2779787340e-30   4.4009731106e-10   3.6862213899e-30   7.1393335617e-01
   1.9500000000e-01   7.2990280311e-02   3.0000000000e+02  -4.2007471808e+05   1.2847808225e-02   1.1003451227e+00   5.8712020602e-04   5.5926596336e-28  -4.0565886018e-25   2.0723984825e-01   4.3577393070e-24   3.9488351254e-03   7.4762241106e-10   5.1206253481e-29   1.1007038723e-35   8.1192805701e-19   6.8895887300e-02   5.1118733324e-03   3.1999795616e-03   2.1507296412e-29   4.6345047285e-10   1.3078251906e-32   7.1101645500e-01
   2.0500000000e-01   7.6800496632e-02   3.0000000001e+02  -4.4193779247e+05   1.3492871030e-02   1.0968591726e+00   6.1660089349e-04   5.4167105950e-28  -6.4866540908e-25   2.0591258176e-01   4.4929865253e-24   4.1470877310e-03   7.8512199990e-10  -2.9101638914e-29  -4.2037252472e-36   8.7315199700e-19   7.2500526845e-02   5.3685426356e-03   3.3606397696e-03   1.1651315581e-29   4.8671797888e-10   1.4494422654e-32   7.0809401908e-01
   2.1500000000e-01   8.0618044259e-02   3.0000000000e+02  -4.6381862563e+05   1.4135403929e-02   1.0933906387e+00   6.4596633787e-04   6.3209203815e-28  -7.6971931131e-25   2.0458533153e-01   4.6305426219e-24   4.3445612389e-03   8.2246902430e-10  -8.8412076432e-30  -2.1587294366e-35   9.3519767640e-19   7.6113303146e-02   5.6242071253e-03   3.5206692267e-03  -6.8567884893e-30   5.0989402063e-10   1.6018543227e-32   7.0516596005e-01
