# L (m)  = 0.7
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.7500000000e-03   1.5129526913e-03   3.0000000196e+02  -3.4227849661e+04   3.8078452992e-03   1.1690274400e+00   1.0528211473e-04   9.3808095288e-28   9.0972250492e-27   2.2989658174e-01   4.5370442303e-23   1.4329364049e-03   4.9130160879e-09  -5.4561426887e-33   1.9128710353e-33   3.2826984580e-20   4.5600259118e-04   1.1025917014e-03   1.1670350781e-03   1.5780674428e-31   1.7314089442e-10   2.8776136762e-32   7.6583956529e-01
   5.2500000000e-03   4.5280223457e-03   3.0000000577e+02  -1.0619775927e+05   1.1391691274e-02   1.1631803674e+00   3.1505950547e-04   8.2469134685e-27  -2.1446767100e-26   2.2371551359e-01   1.3292394402e-22   4.2865239155e-03   1.4687559188e-08  -1.2385087066e-32   2.9957016061e-33   9.9540647895e-20   1.3657730679e-03   3.2993334955e-03   3.4907743577e-03   2.6846066343e-30   5.1795252261e-10   2.6446142007e-31   7.6352700686e-01
   8.7500000000e-03   7.5326279613e-03   3.0000000935e+02  -1.7779296422e+05   1.8935658030e-02   1.1574132368e+00   5.2401124280e-04   2.2767758688e-26   1.9839909648e-26   2.1756639794e-01   2.1972015629e-22   7.1242115418e-03   2.4379886354e-08  -8.3611642838e-32  -8.3883596477e-33   1.6824923437e-19   2.2754444310e-03   5.4868326776e-03   5.8006025680e-03   1.1441702934e-29   8.6088527880e-10   7.5024967602e-31   7.6122247435e-01
   1.2250000000e-02   1.0527135159e-02   3.0000001260e+02  -2.4894187178e+05   2.6431938411e-02   1.1517249804e+00   7.3209890259e-04   4.4474989528e-26   2.6915336375e-26   2.1145524088e-01   3.0547481014e-22   9.9424889854e-03   3.3960243830e-08   4.2707877112e-32  -6.6295717720e-33   2.3872619073e-19   3.1870982143e-03   7.6643037951e-03   8.0930467278e-03   3.1496521245e-29   1.2015424544e-09   1.5007699648e-30   7.5892568733e-01
   1.5750000000e-02   1.3511884909e-02   3.0000001547e+02  -3.1957474914e+05   3.3872915546e-02   1.1461145864e+00   9.3928266138e-04   7.3355129038e-26   1.4421228663e-26   2.0538789959e-01   3.8991400445e-22   1.2737938523e-02   4.3399902448e-08  -8.2454871332e-36   3.2633389135e-40   3.1049798682e-19   4.1027556497e-03   9.8309591043e-03   1.0364735258e-02   6.8726747556e-29   1.5395379905e-09   2.5300492750e-30   7.5663638427e-01
   1.9250000000e-02   1.6487196684e-02   3.0000001791e+02  -3.8962392639e+05   4.1251179982e-02   1.1405810964e+00   1.1455210608e-03   1.0940651088e-25   1.5007941035e-26   1.9937006739e-01   4.7277796641e-22   1.5507243565e-02   5.2671271808e-08  -1.1112678274e-36   4.7049610330e-40   3.8322369442e-19   5.0243779415e-03   1.1986006960e-02   1.2612408397e-02   1.3062994529e-28   1.8744975619e-09   3.8514601180e-30   7.5435432014e-01
   2.2750000000e-02   1.9453371541e-02   3.0000001992e+02  -4.5902398949e+05   4.8559546153e-02   1.1351236035e+00   1.3507708102e-03   1.5263830165e-25   2.1571542069e-26   1.9340725936e-01   5.5381948698e-22   1.8247196807e-02   6.1748005810e-08  -2.5723373071e-36   6.3801578084e-40   4.5675217956e-19   5.9538665091e-03   1.4128650556e-02   1.4832927979e-02   2.2598899118e-28   2.2060595963e-09   5.4776733149e-30   7.5207926403e-01
   2.6250000000e-02   2.2410695134e-02   3.0000002148e+02  -5.2771196201e+05   5.5791068070e-02   1.1297412491e+00   1.5549866277e-03   2.0306843530e-25   5.3171166768e-26   1.8750479875e-01   6.3280246093e-22   2.0954707912e-02   7.0605098968e-08   8.0073205623e-36   8.2456283907e-40   5.3106752830e-19   6.8930632127e-03   1.6258087011e-02   1.7023286519e-02   3.6519214695e-28   2.5338762209e-09   7.4206147933e-30   7.4981099683e-01
   2.9750000000e-02   2.5359440639e-02   3.0000002261e+02  -5.9562747438e+05   6.2939054097e-02   1.1244332203e+00   1.7581211170e-03   2.6072424065e-25   4.1653394705e-26   1.8166780422e-01   7.0950856173e-22   2.3626810666e-02   7.9218973033e-08  -3.0497744879e-35   1.0250777095e-39   6.0622819919e-19   7.8437505757e-03   1.8373506781e-02   1.9180615533e-02   5.6037981735e-28   2.8576141292e-09   9.6914281952e-30   7.4754930903e-01
