# L (m)  = 0.003
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   7.5000000000e-06   4.3192346070e-03   4.7420163260e+02  -1.8439404309e+04   1.9504287677e-02   7.3753991524e-01   3.5964735821e-05   1.4428548831e-06   4.9922270132e-05   2.1656125610e-01   9.1776570409e-05   9.2862044553e-03   1.0262798453e-04   1.4078744914e-11   1.0210782716e-12   4.2664515573e-09   1.3873310170e-06   2.9102956245e-03   7.2718228612e-03   5.5191784914e-10   1.4732134664e-07   3.8358477799e-13   7.6368714706e-01
   2.2500000000e-05   9.5211344576e-03   6.7087600231e+02  -4.2944502072e+04   4.2947047998e-02   5.1792859724e-01   7.9085081057e-05   8.6741421111e-06   1.5871276011e-04   1.9681336974e-01   2.5358474200e-04   2.0425138615e-02   1.1790508124e-04   9.8277790018e-11   8.6140125463e-12   1.4584252006e-08   3.0576872688e-06   6.4191096290e-03   1.6023714672e-02   5.7208894068e-09   3.3756156376e-07   7.5674884658e-12   7.5969728987e-01
   3.7500000000e-05   1.3989058742e-02   8.2646737836e+02  -6.3992014916e+04   6.3011324269e-02   4.1798706058e-01   1.1562088173e-04   2.1631263094e-05   3.3084237595e-04   1.7984310530e-01   4.2028309140e-04   2.9931027041e-02   9.7313650722e-05   3.6490765609e-10   3.3458006100e-11   3.6168257887e-08   4.5007180182e-06   9.4481553149e-03   2.3516521032e-02   1.9678594752e-08   5.5111300105e-07   3.2374245964e-11   7.5627039194e-01
   5.2500000000e-05   1.8010856498e-02   9.5595116252e+02  -8.2937816668e+04   8.0991945278e-02   3.5941549126e-01   1.4856530074e-04   3.8782691064e-05   5.7828012473e-04   1.6452420791e-01   5.9754067684e-04   3.8424145252e-02   7.6768215598e-05   1.0419771245e-09   9.6476033784e-11   7.5607492678e-08   5.8403946387e-06   1.2203361859e-02   3.0215872867e-02   4.6074631814e-08   8.3873295695e-07   8.7372170219e-11   7.5318567307e-01
   6.7500000000e-05   2.1721329842e-02   1.0673238825e+03  -1.0041678278e+05   9.7485025026e-02   3.2024678692e-01   1.8035510348e-04   5.8490236404e-05   8.9266598537e-04   1.5034896962e-01   8.0495886645e-04   4.6187991573e-02   6.1469355797e-05   2.6024313162e-09   2.4129611286e-10   1.4236849585e-07   7.1911037670e-06   1.4788335958e-02   3.6328342392e-02   8.9625741375e-08   1.2547569142e-06   2.0087264717e-10   7.5033974001e-01
   8.2500000000e-05   2.5195731333e-02   1.1652202468e+03  -1.1678325318e+05   1.1281081196e-01   2.9187348784e-01   2.1339672282e-04   7.9753461436e-05   1.2471879140e-03   1.3707040057e-01   1.0555547737e-03   5.3371947993e-02   5.0413858993e-05   6.0159607069e-09   5.5696940986e-10   2.5146662336e-07   8.7150711314e-06   1.7268487726e-02   4.1956979518e-02   1.5825826813e-07   1.8715822886e-06   4.3827158402e-10   7.4767487407e-01
   9.7500000000e-05   2.8485555483e-02   1.2525497724e+03  -1.3227964680e+05   1.2717835826e-01   2.7019824148e-01   2.5016744151e-04   1.0208482407e-04   1.6069974292e-03   1.2455251202e-01   1.3520637520e-03   6.0072107183e-02   4.2215476366e-05   1.3316283159e-08   1.2258133795e-09   4.3042901522e-07   1.0669160962e-05   1.9695969670e-02   4.7160113964e-02   2.6641890002e-07   2.8078014745e-06   9.4580409990e-10   7.4515157894e-01
   1.1250000000e-04   3.1626210282e-02   1.3313165666e+03  -1.4707260508e+05   1.4072377438e-01   2.5299493523e-01   2.9309808119e-04   1.2513471006e-04   1.9383441535e-03   1.1272666522e-01   1.6885145156e-03   6.6351662474e-02   3.5925053043e-05   2.8973214039e-08   2.6347646758e-09   7.3407365199e-07   1.3458075994e-05   2.2114554056e-02   5.1964459768e-02   4.4118199911e-07   4.2782674221e-06   2.0521932922e-09   7.4274269671e-01
   1.2750000000e-04   3.4642866683e-02   1.4029607959e+03  -1.6128055103e+05   1.5353869763e-01   2.3894422511e-01   3.4448132244e-04   1.4847294756e-04   2.2137476734e-03   1.0156067441e-01   2.0520406340e-03   7.2255559726e-02   3.0959168186e-05   6.3201893494e-08   5.6330577194e-09   1.2739421639e-06   1.7725183883e-05   2.4562517434e-02   5.6376139152e-02   7.3369491270e-07   6.6801192223e-06   4.5056819181e-09   7.4042892125e-01
   1.4250000000e-04   3.7554211251e-02   1.4685547963e+03  -1.7499136908e+05   1.6568713514e-01   2.2721117330e-01   4.0645187332e-04   1.7152164123e-04   2.4133972660e-03   9.1041901229e-02   2.4242161397e-03   7.7818444434e-02   2.6970844362e-05   1.3989950917e-07   1.2119926752e-08   2.2791313500e-06   2.4517645303e-05   2.7073470840e-02   6.0388767988e-02   1.2391015618e-06   1.0739860289e-05   1.0015705750e-08   7.3819591997e-01
   1.5750000000e-04   4.0374643445e-02   1.5289113912e+03  -1.8827275723e+05   1.7721311167e-01   2.1724116948e-01   4.8104883634e-04   1.9356022844e-04   2.5243375001e-03   8.1170334849e-02   2.7821823942e-03   8.3067341782e-02   2.3764831826e-05   3.1549397548e-07   2.6368833452e-08   4.2260702477e-06   3.5580264952e-05   2.9675414169e-02   6.3989306880e-02   2.1287789071e-06   1.7760622161e-05   2.2452808710e-08   7.3603264848e-01
   1.7250000000e-04   4.3115642304e-02   1.5846383238e+03  -2.0117866583e+05   1.8814253777e-01   2.0865363031e-01   5.7031398810e-04   2.1374433196e-04   2.5390649026e-03   7.1956931458e-02   3.0996700792e-03   8.8021220897e-02   2.1246766116e-05   7.2214119939e-07   5.7921962508e-08   8.1158091943e-06   5.3858190892e-05   3.2388248166e-02   6.7162754721e-02   3.6952222959e-06   3.0002689058e-05   5.0363060011e-08   7.3393030235e-01
   1.8750000000e-04   4.5786678154e-02   1.6361536299e+03  -2.1375359253e+05   1.9848107980e-01   2.0118402795e-01   6.7631829827e-04   2.3110891967e-04   2.4547652859e-03   6.3424160808e-02   3.3480721250e-03   9.2688922149e-02   1.9387373125e-05   1.6587506974e-06   1.2745259907e-07   1.6046733675e-05   8.4318357842e-05   3.5219565271e-02   6.9896274084e-02   6.3925348391e-06   5.1152289955e-05   1.1171075234e-07   7.3188161786e-01
   2.0250000000e-04   4.8395885936e-02   1.6836685202e+03  -2.2603575371e+05   2.0820917977e-01   1.9465188230e-01   8.0095968425e-04   2.4454715514e-04   2.2739951081e-03   5.5606363204e-02   3.4981810716e-03   9.7066579391e-02   1.8185052793e-05   3.7535387129e-06   2.7684090626e-07   3.2304134544e-05   1.3521137413e-04   3.8158490564e-02   7.2183150129e-02   1.0812089165e-05   8.6594010879e-05   2.4116572146e-07   7.2988035549e-01
   2.1750000000e-04   5.0950633956e-02   1.7271464671e+03  -2.3805976252e+05   2.1727599060e-01   1.8894311920e-01   9.4536870849e-04   2.5277706457e-04   2.0070502456e-03   4.8547555831e-02   3.5236989854e-03   1.0113569541e-01   1.7616436141e-05   8.1693751212e-06   5.8102001593e-07   6.5125478144e-05   2.1983440704e-04   4.1168107009e-02   7.4026819476e-02   1.7474445333e-05   1.4276548557e-04   4.9687185777e-07   7.2792086376e-01
   2.3250000000e-04   5.3458056539e-02   1.7662645649e+03  -2.4985913588e+05   2.2559628783e-01   1.8399861673e-01   1.1088762001e-03   2.5435201079e-04   1.6751500616e-03   4.2294442121e-02   3.4074531314e-03   1.0486342680e-01   1.7582529565e-05   1.6653819209e-05   1.1477961699e-06   1.2875034569e-04   3.5863208495e-04   4.4179163015e-02   7.5444821807e-02   2.6339015042e-05   2.2458272289e-04   9.5590050902e-07   7.2599767063e-01
