# L (m)  = 0.075
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   1.8750000000e-04   2.7545182442e-03   3.7084160134e+02  -7.6368724682e+04   1.3736182550e-02   9.4601512016e-01   2.3914757569e-08   5.4903696422e-15   1.6133717781e-09   2.2137647946e-01   8.8814590378e-09   6.1859750133e-03   4.2887434141e-08   2.6272541256e-19   1.6242206076e-20   6.4959089641e-13   9.5771382918e-11   1.0475504791e-05   7.5397081174e-03   9.7201750164e-19   6.7025020337e-12   9.0721288683e-23   7.6488728451e-01
   5.6250000000e-04   6.9797966936e-03   4.7675536678e+02  -1.9643844794e+05   3.4806721224e-02   7.3337809901e-01   6.0602565675e-08   8.4980849541e-14   4.5808851532e-09   2.0354664056e-01   2.5928861070e-08   1.5674915500e-02   1.1150844385e-07   1.5954599567e-18   1.1199641238e-19   1.7005690222e-12   2.4281521197e-10   2.6547972932e-05   1.9105197149e-02   8.4190294740e-18   1.7035039219e-11   2.0516729470e-21   7.6164649594e-01
   9.3750000000e-04   1.0682034774e-02   5.6654017546e+02  -3.0162806782e+05   5.3268956857e-02   6.1533972327e-01   9.2765741888e-08   4.8193285074e-13   8.4596972885e-09   1.8792392186e-01   5.3663331803e-08   2.3989226367e-02   1.7943593585e-07   5.0221228421e-18   3.6345805725e-19   2.8434964142e-12   3.7192863043e-10   4.0641665270e-05   2.9238996059e-02   3.2375742476e-17   2.6233726017e-11   1.3700999525e-20   7.5880687933e-01
   1.3125000000e-03   1.4039890935e-02   6.4540550665e+02  -3.9698349817e+05   7.0013806251e-02   5.3871272621e-01   1.2199699720e-07   1.9753131807e-12   1.4163571668e-08   1.7375441744e-01   1.0629465444e-07   3.1530122635e-02   2.5166751730e-07   1.4732439680e-17   1.0547935184e-18   4.3599872273e-12   4.8951390133e-10   5.3446183103e-05   3.8430115437e-02   1.0428200183e-16   3.4701679813e-11   6.6537138200e-20   7.5623140365e-01
   1.6875000000e-03   1.7154676788e-02   7.1637828138e+02  -4.8533722610e+05   8.5546462125e-02   4.8414796931e-01   1.4929450495e-07   6.8720286403e-12   2.3185345558e-08   1.6061060998e-01   2.1032354975e-07   3.8525110207e-02   3.3082713927e-07   4.4256818674e-17   3.0687434948e-18   6.6330388328e-12   5.9958655374e-10   6.5366288822e-05   4.6955836335e-02   3.1623421794e-16   4.2558535767e-11   2.8955950646e-19   7.5384236290e-01
   2.0625000000e-03   2.0087330955e-02   7.8135562828e+02  -5.6836140086e+05   1.0017075984e-01   4.4286085460e-01   1.7549555725e-07   2.1472825727e-11   3.8445396147e-08   1.4823534905e-01   4.1745982924e-07   4.5111012401e-02   4.1725888543e-07   1.3711775538e-16   9.0944756686e-18   1.0165070479e-11   7.0551632235e-10   7.6673353395e-05   5.4982898590e-02   9.3087933939e-16   4.9822348324e-11   1.1983857352e-18   7.5159301716e-01
   2.4375000000e-03   2.2876668267e-02   8.4161609036e+02  -6.4708885587e+05   1.1408015673e-01   4.1025008340e-01   2.0169193161e-07   6.1644728170e-11   6.5757353276e-08   1.3646484637e-01   8.2618789863e-07   5.1374939678e-02   5.0857052376e-07   4.2980488653e-16   2.7054070489e-17   1.5581814406e-11   8.1168078114e-10   8.7596148565e-05   6.2617419212e-02   2.6724225401e-15   5.6634957171e-11   4.7578728134e-18   7.4945359544e-01
   2.8125000000e-03   2.5548491020e-02   8.9807269238e+02  -7.2217426134e+05   1.2740312228e-01   3.8365409981e-01   2.2986183972e-07   1.6445929180e-10   1.1600869873e-07   1.2519023840e-01   1.6143169671e-06   5.7374728827e-02   6.0042986184e-07   1.3323020724e-15   7.9161330014e-17   2.3662981316e-11   9.2602902566e-10   9.8397044207e-05   6.9929766547e-02   7.4591760751e-15   6.3642402890e-11   1.8007302243e-17   7.4740430739e-01
   3.1875000000e-03   2.8120460519e-02   9.5140714307e+02  -7.9403463711e+05   1.4022735609e-01   3.6141743794e-01   2.6402008183e-07   4.1171687175e-10   2.0836890539e-07   1.1433705770e-01   3.0795475980e-06   6.3149850775e-02   6.8992577990e-07   4.0264007725e-15   2.2496662201e-16   3.5560757144e-11   1.0651088001e-09   1.0946751608e-04   7.6967773778e-02   2.0217342278e-14   7.2617770926e-11   6.4724951955e-17   7.4543160678e-01
   3.5625000000e-03   3.0604866547e-02   1.0021453447e+03  -8.6293005018e+05   1.5261348259e-01   3.4245214164e-01   3.1231362278e-07   9.7964451605e-10   3.7560010037e-07   1.0385361241e-01   5.6793756283e-06   6.8727588754e-02   7.8027876314e-07   1.1897680961e-14   6.2336212601e-16   5.3616761835e-11   1.2646905010e-09   1.2147293071e-04   8.3764108594e-02   5.3637904169e-14   8.7495181960e-11   2.2311773942e-16   7.4352606736e-01
