# L (m)  = 0.003
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
                  0   0.0000000000e+00   3.0000000000e+02   1.9075768848e+03   0.0000000000e+00   1.1719839921e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   2.3300000000e-01   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   0.0000000000e+00   7.6700000000e-01
   7.5000000000e-06   4.3208381103e-03   4.7430710729e+02  -1.8405714036e+04   1.9511802395e-02   7.3737454714e-01   3.5992030198e-05   1.4481742390e-06   5.0013040691e-05   2.1655458289e-01   9.1954156750e-05   9.2894088119e-03   1.0275368288e-04   1.3999267218e-11   1.0154590992e-12   4.2350100804e-09   1.3774212426e-06   2.9105485399e-03   7.2758530130e-03   5.5197883201e-10   1.4627161674e-07   3.8236563129e-13   7.6368591717e-01
   2.2500000000e-05   9.5236972157e-03   6.7105289029e+02  -4.2865717863e+04   4.2959106633e-02   5.1779032983e-01   7.9136212613e-05   8.7012284398e-06   1.5902223758e-04   1.9680248040e-01   2.5402822471e-04   2.0430000496e-02   1.1794602169e-04   9.7746473311e-11   8.5687661232e-12   1.4483033140e-08   3.0355485001e-06   6.4190204746e-03   1.6030949450e-02   5.7211214852e-09   3.3514799448e-07   7.5371023053e-12   7.5969532424e-01
   3.7500000000e-05   1.3992448126e-02   8.2669187926e+02  -6.3874589237e+04   6.3027183659e-02   4.1787142265e-01   1.1569089573e-04   2.1690446360e-05   3.3151696765e-04   1.7982850870e-01   4.2093554029e-04   2.9937218529e-02   9.7301074953e-05   3.6298288290e-10   3.3286872265e-11   3.5928678220e-08   4.4680536973e-06   9.4477978664e-03   2.3526476368e-02   1.9666748741e-08   5.4724873328e-07   3.2228386796e-11   7.5626779229e-01
   5.2500000000e-05   1.8014980102e-02   9.5620966506e+02  -8.2785644438e+04   8.1011075174e-02   3.5931583602e-01   1.4865269534e-04   3.8877079281e-05   5.7946111574e-04   1.6450616559e-01   5.9841768414e-04   3.8431424486e-02   7.6739653884e-05   1.0366264092e-09   9.5998647984e-11   7.5123873270e-08   5.7980630874e-06   1.2202792156e-02   3.0228205836e-02   4.6010080627e-08   8.3302201648e-07   8.6961808622e-11   7.5318251026e-01
   6.7500000000e-05   2.1726106706e-02   1.0676082872e+03  -1.0023252431e+05   9.7506940847e-02   3.2015865353e-01   1.8046197407e-04   5.8619219942e-05   8.9443033739e-04   1.5032774014e-01   8.0613463363e-04   4.6196120618e-02   6.1438946017e-05   2.5894957111e-09   2.4015162814e-10   1.4148439407e-07   7.1392855079e-06   1.4787602625e-02   3.6342755630e-02   8.9427658477e-08   1.2464958783e-06   1.9993416552e-10   7.5033607616e-01
   8.2500000000e-05   2.5201106529e-02   1.1655248575e+03  -1.1656897076e+05   1.1283512804e-01   2.9179408169e-01   2.1352869130e-04   7.9916018444e-05   1.2495252591e-03   1.3704625421e-01   1.0571124474e-03   5.3380719983e-02   5.0385215638e-05   5.9871694057e-09   5.5445015616e-10   2.4995043175e-07   8.6530934954e-06   1.7267657404e-02   4.1973221958e-02   1.5779800139e-07   1.8597066064e-06   4.3629528601e-10   7.4767075129e-01
   9.7500000000e-05   2.8491493719e-02   1.2528707221e+03  -1.3203700294e+05   1.2720476385e-01   2.7012561817e-01   2.5033304220e-04   1.0228050470e-04   1.6098260888e-03   1.2452575189e-01   1.3540697198e-03   6.0081341416e-02   4.2188988297e-05   1.3255572369e-08   1.2205707177e-09   4.2792684954e-07   1.0595060761e-05   1.9695131345e-02   4.7177958044e-02   2.6550816640e-07   2.7907362312e-06   9.4177646769e-10   7.4514702432e-01
   1.1250000000e-04   3.1632682357e-02   1.3316511021e+03  -1.4680295221e+05   1.4075198897e-01   2.5292771064e-01   2.9330770793e-04   1.2536329780e-04   1.9415414832e-03   1.1269763991e-01   1.6910087873e-03   6.6361192745e-02   3.5900285554e-05   2.8849556316e-08   2.6242696448e-09   7.3001123539e-07   1.3367938054e-05   2.2113814611e-02   5.1983673908e-02   4.3954568361e-07   4.2536187157e-06   2.0440972506e-09   7.4273773263e-01
   1.2750000000e-04   3.4649847237e-02   1.4033069655e+03  -1.6098501875e+05   1.5356848007e-01   2.3888137112e-01   3.4474617487e-04   1.4873398800e-04   2.2171791479e-03   1.0152974208e-01   2.0550344220e-03   7.2265246861e-02   3.0935494832e-05   6.2955095084e-08   5.6125951459e-09   1.2673349734e-06   1.7612180567e-05   2.4562002155e-02   5.6396484883e-02   7.3091974486e-07   6.6441347722e-06   4.4895304854e-09   7.4042356717e-01
