# x_(m)           2_0.0000e+00     3_2.5000e-02     4_5.0000e-02     5_7.5000e-02     6_1.0000e-01     7_1.2500e-01     8_1.5000e-01     9_1.7500e-01     10_2.0000e-01    11_2.2500e-01    12_2.5000e-01    13_2.7500e-01    14_3.0000e-01    15_3.2500e-01    16_3.5000e-01    17_3.7500e-01    18_4.0000e-01    19_4.2500e-01    20_4.5000e-01    21_4.7500e-01    22_5.0000e-01    23_5.2500e-01    24_5.5000e-01    25_5.7500e-01    26_6.0000e-01    27_6.2500e-01    28_6.5000e-01    29_6.7500e-01    30_7.0000e-01    31_7.2500e-01    32_7.5000e-01    33_7.7500e-01    34_8.0000e-01    35_8.2500e-01    36_8.5000e-01    37_8.7500e-01    38_9.0000e-01    39_9.2500e-01    40_9.5000e-01    41_9.7500e-01    42_1.0000e+00    
-7.500000000000000000e-01 0.000000000000000000e+00 1.922134483144741146e-118 1.663997726867633719e-99 1.270865830580452974e-56 5.670833684348256640e-41 1.152770870258901830e-35 7.612158250680935707e-31 1.304224055287332809e-25 1.835901323910427027e-24 5.444466311128246831e-23 1.568921904424052394e-21 1.109692890133424580e-20 5.197877014671933558e-20 1.812431181456653625e-19 2.681575078207061088e-18 1.678448855080035175e-17 4.201885795910582928e-17 1.830107439068276473e-16 7.017386226552272086e-16 4.416056584821606244e-15 4.020284136894757087e-14 9.173860168190035475e-14 3.936352125115385196e-10 2.226138178599710543e-10 7.764686760480075399e-10 3.034796204710648349e-09 1.674094876128918874e-06 7.436872271158099547e-07 7.997701341717853000e-07 1.507049174686893752e-06 1.807358155827312945e-06 2.256358582388450588e-06 3.850534389821599873e-06 4.985507299213763444e-06 5.103241862012638718e-06 4.833991219451755941e-06 5.116556888784587725e-06 5.250681762666163557e-06 5.336413675901497174e-06 5.359593285534725543e-06
-7.485000000000000542e-01 0.000000000000000000e+00 1.696740984984779971e-118 1.468194437455642590e-99 1.117295523800262926e-56 4.976646123936924765e-41 1.010210884208067510e-35 6.607728323766103626e-31 1.113511151021488821e-25 1.543332305495797181e-24 4.413606938456995470e-23 1.216642667944904447e-21 8.255453922876176843e-21 3.824419412129279822e-20 1.301774462280614186e-19 3.575696850714974766e-18 2.067620938254840281e-17 5.117350316124092238e-17 2.076694389800648810e-16 7.076734734576097757e-16 4.066532505720165888e-15 3.430493968257299618e-14 8.033229064892331797e-14 3.473881201068934768e-10 2.468351330056434905e-10 7.825316472875061240e-10 3.674715736348770131e-09 1.373011064556334131e-06 7.477184049456210264e-07 8.012505176317516101e-07 1.755403307222072333e-06 1.808692536548294557e-06 2.276187750378030109e-06 3.910056505068992668e-06 5.009457970780744003e-06 5.089433002089496651e-06 4.856358936100553726e-06 5.194974834996256650e-06 5.305117931142234798e-06 5.449854945932776026e-06 5.382811554274169036e-06
-7.469999999999999973e-01 0.000000000000000000e+00 1.485399293631310450e-118 1.284644225810826543e-99 9.736107701380545936e-57 4.327766655794798375e-41 8.770630973612511269e-36 5.674371176887009357e-31 9.378659518366102943e-26 1.276214143349562728e-24 3.493999721930293222e-23 9.106305809938481266e-22 5.851384194708048311e-21 2.666828049086324227e-20 1.021891673380294496e-19 4.743631912817435176e-18 2.529741845831952039e-17 6.160782028145874466e-17 2.346825615740817418e-16 7.221354584409414207e-16 3.768811333139863970e-15 2.907591641638646248e-14 7.020754426252663486e-14 3.040574792900852421e-10 2.725381649810884964e-10 7.913934512140068259e-10 4.415607446236134890e-09 1.076724333287609684e-06 7.518430104114389495e-07 8.028947230257341232e-07 1.986386104028486291e-06 1.815592004725267551e-06 2.296285466543205982e-06 3.969962679522312635e-06 5.033584825380454885e-06 5.110634069039374810e-06 4.890810503228497643e-06 5.447838071876300789e-06 5.398408863767569738e-06 5.557691329756554107e-06 5.751876308046050607e-06
-7.455000000000000515e-01 0.000000000000000000e+00 1.288109352763163014e-118 1.113347091560614091e-99 8.398115695092319742e-57 3.724195279715385738e-41 7.533275096863182980e-36 4.812086809730528377e-31 7.772884576125775488e-26 1.034546837377132555e-24 2.685644661165040014e-23 6.508856431584018077e-22 3.884719709899850430e-21 1.725102920428992120e-20 9.727827959748644796e-20 6.185380143761363462e-18 3.064811530633660799e-17 7.332180854778680588e-17 2.640501103144249696e-16 7.451245681496880258e-16 3.522892895589705289e-15 2.451575683724813090e-14 6.136432782110332941e-14 2.636380006274733270e-10 2.997210787979140726e-10 8.030515962853180118e-10 5.256501337792595296e-09 8.190042441964185276e-07 7.561302041683993951e-07 8.047018600330668659e-07 1.875054628878795629e-06 1.827763345456408683e-06 2.316639327940650011e-06 4.030212323171724804e-06 5.057885985050956420e-06 5.214991190066007222e-06 4.956068566423206011e-06 5.363876990396475131e-06 5.484101345936874179e-06 5.704362917144830796e-06 6.297637368298433939e-06
-7.439999999999999947e-01 0.000000000000000000e+00 1.104871196542358551e-118 9.543030349312093512e-100 7.158979219750606983e-57 3.165931995880837161e-41 6.390041212272591221e-36 4.020875222419921528e-31 6.317786684331807170e-26 8.183303876239740490e-25 1.988541756248522765e-23 4.374078542037817465e-22 2.355460462385448175e-21 9.992440218235255468e-21 1.154447811385139830e-19 7.900941421952294361e-18 3.672829945150464791e-17 8.631546718332774481e-17 2.957720838116459215e-16 7.766407931185554889e-16 3.328777021833719175e-15 2.062444621637769192e-14 5.380260663189580417e-14 2.261243944626682312e-10 3.283820393607552840e-10 8.175035907769621534e-10 6.196427195937190970e-09 8.112081028593543317e-07 7.660322102775590458e-07 8.068516655272477878e-07 1.833779130445272747e-06 1.844912993870797223e-06 2.337364490711239162e-06 4.057831980164951933e-06 5.082359571227878778e-06 5.104221504341164812e-06 5.117541309832119610e-06 5.610541283727210655e-06 5.548941964283432160e-06 6.185463840407484278e-06 5.799105544314413423e-06
-7.425000000000000488e-01 0.000000000000000000e+00 9.356848185058120270e-119 8.075120560224082576e-100 6.018698275151238318e-57 2.652976804208073792e-41 5.340929319704573998e-36 3.300736415078747865e-31 5.013365842711858102e-26 6.275647940945037622e-25 1.402691007240991733e-23 2.701972138897889790e-22 1.263606446074202262e-21 4.892513486232671850e-21 1.566886700829159709e-19 9.890315625724640328e-18 4.353797041901131812e-17 1.005887954131657449e-16 3.298484806758621056e-16 8.166841238839440822e-16 3.186463540460419325e-15 1.740196982223060112e-14 4.752234599927147387e-14 1.915113709292882224e-10 3.585192115232794800e-10 8.347469427774309124e-10 7.234414587659467245e-09 8.043566197219359765e-07 8.229607134929279626e-07 8.127552486359666840e-07 2.117797491295018375e-06 1.866747034739724035e-06 2.361276423755471941e-06 3.976206275385288330e-06 5.107003717125720244e-06 5.098074049577565231e-06 5.243388523893139107e-06 5.677474402768919102e-06 5.592050598335525786e-06 6.605384510047244355e-06 5.984792831775999709e-06
-7.409999999999999920e-01 0.000000000000000000e+00 7.805502195768213041e-119 6.729741547809863119e-100 4.977272861294019617e-57 2.185329704629411402e-41 4.385939418925060600e-36 2.651670387488204264e-31 3.859622051227293092e-26 4.622500567558120775e-25 9.280924138065889329e-24 1.492537218810784062e-22 6.091576542894904106e-22 1.951248960572097881e-21 2.210099445710683835e-19 1.215350263423021161e-17 5.107712773596700948e-17 1.161417924659504683e-16 3.662792995334505381e-16 8.652545509999474395e-16 3.095952280180117979e-15 1.484831292306749701e-14 4.252351122530872504e-14 1.597936399215647496e-10 3.901307600616385528e-10 8.547791602007929241e-10 8.369492861835130936e-09 6.817980594437024638e-07 1.309881064023122592e-06 8.430620738266987392e-07 2.234072054709531951e-06 1.882816310149454810e-06 2.412894368019791472e-06 3.914234363519908792e-06 5.144589144532293560e-06 5.079119903957805468e-06 5.303452373752352503e-06 5.597222308335559292e-06 5.642723227593800449e-06 6.892997021553532645e-06 6.157739329729426846e-06
-7.395000000000000462e-01 0.000000000000000000e+00 6.394673914457056264e-119 5.506893308676373395e-100 4.034702978047693905e-57 1.762990697215721423e-41 3.525071510242518144e-36 2.073677139733948162e-31 2.856555309732734253e-26 3.223861756125082185e-25 5.647459759594206643e-24 7.457737792126746929e-23 3.921140809427166755e-22 1.168646595693815670e-21 3.084086027307119847e-19 1.469050232568746428e-17 5.934577092691992344e-17 1.329744575647462817e-16 4.050645389936958380e-16 9.223520649959940777e-16 3.057243069567050451e-15 1.296346078862928878e-14 3.880606761489724252e-14 1.309659111108205785e-10 4.232148496872483093e-10 8.775977507822896813e-10 9.600691149177331883e-09 5.247708530031313524e-07 1.051315696386795873e-06 9.648231223102818028e-07 2.665861488314476885e-06 1.882254868230105328e-06 2.562901240850087247e-06 3.902990484387855903e-06 5.187126945647742694e-06 5.057894731620111913e-06 5.370488093044745767e-06 5.850845976775761767e-06 5.693921598258002445e-06 7.079465973424054195e-06 7.405034741147393012e-06
-7.379999999999999893e-01 0.000000000000000000e+00 5.124363419604968190e-119 4.406575847347695733e-100 3.190988625806610536e-57 1.385959782027780949e-41 2.758325593577109478e-36 1.566756671932530805e-31 2.004165618545809858e-26 2.079731507019996296e-25 3.126516936879521686e-24 4.616818172771049105e-23 6.124757196593719694e-22 2.544706344573516222e-21 4.188846426629916736e-19 1.750131457881271807e-17 6.834389951628791450e-17 1.510867899322785019e-16 4.462041976651906945e-16 9.879766564048963326e-16 3.070335737320548827e-15 1.174739868763795026e-14 3.636998047196221824e-14 1.050228939550894627e-10 4.577696450139197775e-10 9.032002220668476499e-10 1.092910850202703551e-08 4.871980437739852129e-07 1.044142037987759645e-06 1.111859442765793957e-06 3.326024645361009613e-06 1.887504485870684011e-06 2.470006353187116492e-06 4.126851794608059199e-06 5.246416248123045868e-06 5.070760381625853981e-06 5.696466872754391799e-06 5.855231342113502255e-06 5.746768233617086416e-06 6.617385367231358917e-06 7.159762304229625646e-06
-7.365000000000000435e-01 0.000000000000000000e+00 3.994570595799716096e-119 3.428789162260360504e-100 2.446129804176296207e-57 1.054236958989316818e-41 2.085701668745918602e-36 1.130908983907914293e-31 1.302452977480098157e-26 1.190109819606859135e-25 1.718095668152668805e-24 6.402613302341623965e-23 1.270242564220123086e-21 6.079428161559245777e-21 5.524380625243869408e-19 2.058593927251723690e-17 7.807151303304316539e-17 1.704787887991621394e-16 4.896982741783878231e-16 1.062128315782175183e-15 3.135230112079402485e-15 1.120011188890855033e-14 3.521521509954106639e-14 8.195929767350263812e-11 4.937933106310149043e-10 9.315840814373822178e-10 1.236234333762552317e-08 6.395995262818579003e-07 1.530206982585927947e-06 1.208538571562398959e-06 3.617942344462789145e-06 1.925259830394848420e-06 2.444833487044558068e-06 4.365775498758753945e-06 5.334750446988419864e-06 5.290374923851861857e-06 5.714634157941010000e-06 6.269154749036622435e-06 5.719779137851458571e-06 5.997268032795365872e-06 7.281844222681681109e-06
