# L (m)  = 1
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density        007_hr             008_H2              009_H              010_O             011_O2             012_OH            013_H2O            014_HO2            015_CH2         016_CH2(S)            017_CH3            018_CH4             019_CO            020_CO2            021_HCO           022_CH2O          023_CH2OH             024_N2
   3.8000000000e-02   2.8608971267e-02   1.4737821780e+03  -1.7470747255e+05   1.5754526937e-01   2.4075690157e-01   1.8110396751e+07   1.6313987706e-05   5.1890728133e-06   4.1336808677e-04   1.1227784471e-01   6.5063218369e-04   3.4680906320e-02   7.5078836330e-06   4.0341724048e-20   3.7473079893e-21   2.2966986871e-18   2.7847680791e-17   1.4409116533e-03   1.2140713741e-01   1.8449229236e-10   1.6778296879e-13   7.9325024597e-19   7.2729062607e-01
   4.2000000000e-02   3.1467391563e-02   1.5574063348e+03  -1.9329853038e+05   1.7127228681e-01   2.2770174180e-01   2.2434308732e+07   2.4731985318e-05   8.3077664835e-06   5.5544079393e-04   1.0032939541e-01   9.2773166051e-04   3.8343712575e-02   7.0306865718e-06   4.4890111414e-19   4.0664290878e-20   1.7018749792e-17   1.6322266540e-16   2.0463549660e-03   1.3085748729e-01   3.5698716360e-10   3.2224179772e-13   2.1723621173e-18   7.2441853760e-01
   4.6000000000e-02   3.4296985601e-02   1.6348389432e+03  -2.1188958822e+05   1.8450004733e-01   2.1673842006e-01   2.6443932627e+07   3.6591597948e-05   1.2454643430e-05   7.0114439260e-04   8.8668744914e-02   1.2420797656e-03   4.1914218523e-02   6.5278550471e-06   5.8279943542e-18   5.1439959534e-19   1.5555792996e-16   1.2048188892e-15   2.9173745479e-03   1.3963186266e-01   6.5263354136e-10   6.3686708314e-13   5.9779730045e-18   7.2153722660e-01
   5.0000000000e-02   3.7094642375e-02   1.7059368145e+03  -2.3048064605e+05   1.9717753077e-01   2.0747702131e-01   2.9898568090e+07   5.2551906183e-05   1.7696073316e-05   8.3892371388e-04   7.7376870658e-02   1.5771618924e-03   4.5383471858e-02   6.0015497056e-06   8.6181524490e-17   7.3980002972e-18   1.6947742036e-15   1.0774852759e-14   4.1178957362e-03   1.4762361127e-01   1.1316697170e-09   1.2522067907e-12   1.9072807752e-17   7.1864748906e-01
   5.4000000000e-02   3.9857446044e-02   1.7706222862e+03  -2.4907170250e+05   2.0925938047e-01   1.9961948292e-01   3.2593426661e+07   7.3297038657e-05   2.4033587513e-05   9.5697253550e-04   6.6532803305e-02   1.9131996166e-03   4.8747110421e-02   5.4525710871e-06   1.4156607585e-15   1.1784768174e-16   2.1293579798e-14   1.1247731073e-13   5.7078558503e-03   1.5473111716e-01   1.8679872302e-09   2.4423301356e-12   1.1633384922e-16   7.1575000860e-01
   5.8000000000e-02   4.2582859133e-02   1.8288807339e+03  -2.6766276095e+05   2.2070721038e-01   1.9293406262e-01   3.4364255700e+07   9.9573324964e-05   3.1385540033e-05   1.0440419347e-03   5.6210785104e-02   2.2283497239e-03   5.2004308051e-02   4.8815923456e-06   2.5211391285e-14   2.0273333872e-15   2.9921803207e-13   1.3228848828e-12   7.7416970291e-03   1.6086163198e-01   2.9468944835e-09   5.2901722018e-12   1.5500637474e-15   7.1284539018e-01
   6.2000000000e-02   4.5268814341e-02   1.8807376171e+03  -2.8625381914e+05   2.3148821383e-01   1.8723953650e-01   3.5095347260e+07   1.3224310955e-04   3.9561529278e-05   1.0900592043e-03   4.6479799980e-02   2.4994497493e-03   5.5156935502e-02   4.2897069021e-06   4.7548221536e-13   3.6759342831e-14   4.5718830064e-12   1.6948578595e-11   1.0269617650e-02   1.6592941757e-01   4.4614920254e-09   2.1149368292e-11   2.7263569377e-14   7.0993418359e-01
   6.6000000000e-02   4.7913672509e-02   1.9262106409e+03  -3.0484487718e+05   2.4157035501e-01   1.8239608344e-01   3.4737719289e+07   1.7238197547e-04   4.8221737330e-05   1.0865732895e-03   3.7406349922e-02   2.7020613010e-03   5.8208745444e-02   3.6792096789e-06   9.2689181428e-12   6.8543299991e-13   7.3972055696e-11   2.2886717507e-10   1.3342232773e-02   1.6984699482e-01   6.5158021577e-09   2.1470341886e-10   5.0391712020e-13   7.0701689909e-01
   7.0000000000e-02   5.0515896429e-02   1.9652280049e+03  -3.2343593512e+05   2.5091294405e-01   1.7830164497e-01   3.3350266189e+07   2.2148381466e-04   5.6805922279e-05   1.0271101431e-03   2.9061976508e-02   2.8095079533e-03   6.1163823325e-02   3.0550660812e-06   1.8123104766e-10   1.2765898310e-11   1.2329666192e-09   3.1492346545e-09   1.7019228211e-02   1.7250840870e-01   9.3784291558e-09   3.0735994923e-09   9.2115376827e-12   7.0409401642e-01
   7.4000000000e-02   5.3072965333e-02   1.9974978184e+03  -3.4202699302e+05   2.5945072387e-01   1.7489398594e-01   3.1245411432e+07   2.8193753742e-04   6.4400210058e-05   9.0766884459e-04   2.1538488422e-02   2.7904533612e-03   6.4021866189e-02   2.4280607332e-06   3.3946265189e-09   2.2738819664e-10   2.0442551666e-08   4.2542196855e-08   2.1381496055e-02   1.7376542409e-01   1.5792308003e-08   4.4535474475e-08   1.5914430969e-10   7.0116598773e-01
