# L (m)  = 0.0052
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
   2.1840000000e-04   3.5769825024e-02   1.3872703065e+03  -2.9188285355e+05   2.4775125361e-01   2.0919288549e-04   6.3086011609e-05   1.2789039966e-03   9.3023093204e-02   1.2381482646e-03   5.6077767983e-02   2.2863102707e-05   1.8171272627e-08   1.4623173708e-09   5.0312231151e-07   7.8939010426e-06   1.8776288131e-02   8.9140185912e-02   2.1493161858e-07   2.6298090525e-06   1.0717574010e-09   7.4016203336e-01
   2.3920000000e-04   3.8155512666e-02   1.4387920013e+03  -3.1327744181e+05   2.3845403799e-01   2.3515540180e-04   6.9694384380e-05   1.3464420100e-03   8.4143808868e-02   1.4052842790e-03   5.9403920899e-02   2.0133753768e-05   3.8089350106e-08   2.9664237124e-09   8.7989975002e-07   1.1335301295e-05   2.0636023717e-02   9.4239815964e-02   3.5120089156e-07   4.2254235584e-06   2.2847322073e-09   7.3848006260e-01
   2.6000000000e-04   4.0464087335e-02   1.4869400299e+03  -3.3333639596e+05   2.3031864115e-01   2.6489817826e-04   7.5735466804e-05   1.3744542946e-03   7.5748803786e-02   1.5615457916e-03   6.2568681156e-02   1.7881581284e-05   8.1150210054e-08   6.0937144571e-09   1.5861302978e-06   1.6918214845e-05   2.2630454376e-02   9.8877435770e-02   5.8725171842e-07   6.9714130944e-06   4.9187527212e-09   7.3685677871e-01
   2.8080000000e-04   4.2700662383e-02   1.5320615323e+03  -3.5180348331e+05   2.2312903280e-01   2.9903683492e-04   8.1007586820e-05   1.3620810869e-03   6.7842740503e-02   1.6971326476e-03   6.5578902646e-02   1.6065491859e-05   1.7516385522e-07   1.2638544101e-08   2.9400793076e-06   2.6087703277e-05   2.4778692291e-02   1.0302627557e-01   9.9824320835e-07   1.1760074572e-05   1.0627872240e-08   7.3527325879e-01
   3.0160000000e-04   4.4869475099e-02   1.5744177176e+03  -3.6842985563e+05   2.1672476036e-01   3.3817648304e-04   8.5308675692e-05   1.3097968139e-03   6.0439045021e-02   1.8018088212e-03   6.8440630494e-02   1.4687056351e-05   3.8114623377e-07   2.6352808597e-08   5.5852819678e-06   4.1274797346e-05   2.7095448023e-02   1.0666465992e-01   1.7081034865e-06   2.0143496339e-05   2.2887726172e-08   7.3374411994e-01
   3.2240000000e-04   4.6974269122e-02   1.6141781056e+03  -3.8298855422e+05   2.1098785563e-01   3.8284294619e-04   8.8434909024e-05   1.2193138829e-03   5.3553506636e-02   1.8651845590e-03   7.1152497987e-02   1.3778479734e-05   8.2938924930e-07   5.4883526150e-08   1.0822809879e-05   6.6511457222e-05   2.9585411771e-02   1.0977014510e-01   2.9038844887e-06   3.4686331013e-05   4.8711278282e-08   7.3225020509e-01
   3.4320000000e-04   4.9018876871e-02   1.6514020359e+03  -3.9529033762e+05   2.0583533200e-01   4.3342129726e-04   9.0193035326e-05   1.0942047136e-03   4.7209655325e-02   1.8777116511e-03   7.3710845906e-02   1.3382421429e-05   1.7825326122e-06   1.1299409524e-07   2.1236493823e-05   1.0832900508e-04   3.2240645845e-02   1.1233276508e-01   4.8246081811e-06   5.9244376377e-05   1.0129185792e-07   7.3080436587e-01
   3.6400000000e-04   5.1008093341e-02   1.6860100604e+03  -4.0520069113e+05   2.0121508695e-01   4.8997159083e-04   9.0396995339e-05   9.4074496002e-04   4.1431879399e-02   1.8321205839e-03   7.6102659993e-02   1.3508674534e-05   3.7168572761e-06   2.2638350145e-07   4.1718429996e-05   1.7690762900e-04   3.5031814354e-02   1.1434982293e-01   7.6794876674e-06   9.8688815245e-05   2.0263217477e-07   7.2938511988e-01
   3.8480000000e-04   5.2948740349e-02   1.7177575039e+03  -4.1265837722e+05   1.9710280679e-01   5.5206481489e-04   8.8883454110e-05   7.6907159706e-04   3.6246337034e-02   1.7260900977e-03   7.8312034252e-02   1.4077863886e-05   7.3543183710e-06   4.3225301555e-07   8.0747892369e-05   2.8729493266e-04   3.7905243081e-02   1.1584091332e-01   1.1460115079e-05   1.5731501697e-04   3.8255779087e-07   7.2800311903e-01
   4.0560000000e-04   5.4850493060e-02   1.7462388743e+03  -4.1770008281e+05   1.9349663055e-01   6.1855149526e-04   8.5526209344e-05   5.9330617489e-04   3.1671008466e-02   1.5648771339e-03   8.0314953990e-02   1.4883207792e-05   1.3487435345e-05   7.6827303992e-07   1.5104051349e-04   4.6015219109e-04   4.0778562567e-02   1.1684205685e-01   1.5711767781e-05   2.3557000870e-04   6.6770589290e-07   7.2663605633e-01
   4.2640000000e-04   5.6725746560e-02   1.7709604443e+03  -4.2049857626e+05   1.9040650311e-01   6.8754624281e-04   8.0298816226e-05   4.2971447172e-04   2.7711895076e-02   1.3628301594e-03   8.2090270243e-02   1.5629426855e-05   2.2463365345e-05   1.2441167857e-06   2.6781613696e-04   7.2134557204e-04   4.3552025235e-02   1.1741743468e-01   1.9507516488e-05   3.2673240374e-04   1.0581593566e-06   7.2529500927e-01
   4.4720000000e-04   5.8588079338e-02   1.7914897481e+03  -4.2140909438e+05   1.8783855825e-01   7.5654965832e-04   7.3350742092e-05   2.9230629789e-04   2.4353526339e-02   1.1411466810e-03   8.3618745182e-02   1.6049785062e-05   3.3527551639e-05   1.8089651031e-06   4.4333088284e-04   1.0997241579e-03   4.6123518224e-02   1.1764476228e-01   2.1834897740e-05   4.1718815162e-04   1.5053090246e-06   7.2395830592e-01
   4.6800000000e-04   6.0449858001e-02   1.8076220043e+03  -4.2098693063e+05   1.8578061377e-01   8.2291704359e-04   6.5075919708e-05   1.8831247407e-04   2.1559230285e-02   9.2239890811e-04   8.4896430356e-02   1.6020916405e-05   4.4673757933e-05   2.3504759717e-06   6.7953869532e-04   1.6234827333e-03   4.8414581392e-02   1.1761575244e-01   2.2179119759e-05   4.9216472195e-04   1.9175279574e-06   7.2263579342e-01
