# L (m)  = 0.006
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h        005_density             006_H2              007_H              008_O             009_O2             010_OH            011_H2O            012_HO2            013_CH2         014_CH2(S)            015_CH3            016_CH4             017_CO            018_CO2            019_HCO           020_CH2O          021_CH2OH             022_N2
   3.0000000000e-04   4.0424909361e-02   1.5133269213e+03  -3.4987311162e+05   2.2690954317e-01   2.3177220775e-04   7.9214107764e-05   1.4929231549e-03   7.2855117562e-02   1.7422022866e-03   6.2632776986e-02   1.5865856662e-05   1.8937668417e-08   1.4468284191e-09   3.3405418214e-07   3.3417185112e-06   1.8154822969e-02   1.0691823095e-01   1.5250382419e-07   1.4393560993e-06   1.1728329083e-09   7.3587303162e-01
   3.2400000000e-04   4.2649471097e-02   1.5580158352e+03  -3.7024409433e+05   2.2002479261e-01   2.6431033716e-04   8.5539694318e-05   1.4903576278e-03   6.4824664380e-02   1.9045035040e-03   6.5607124833e-02   1.3937561602e-05   4.5333910147e-08   3.3303275236e-09   6.8276563792e-07   5.7256209590e-06   2.0104203695e-02   1.1144534879e-01   2.6890220524e-07   2.6950207011e-06   2.8159241985e-09   7.3424934024e-01
   3.4800000000e-04   4.4806971264e-02   1.5998930006e+03  -3.8876066215e+05   2.1388911271e-01   3.0188892335e-04   9.0952206303e-05   1.4482048094e-03   5.7290466740e-02   2.0361362578e-03   6.8441922021e-02   1.2302356288e-05   1.1003455939e-07   7.7455300707e-09   1.4354578802e-06   1.0109384614e-05   2.2255422523e-02   1.1542340446e-01   4.9544085812e-07   5.1680737048e-06   6.7690615961e-09   7.3268321319e-01
   3.7200000000e-04   4.6900829980e-02   1.6392161589e+03  -4.0513326862e+05   2.0837906975e-01   3.4518858417e-04   9.5210728560e-05   1.3675110724e-03   5.0264262442e-02   2.1266841218e-03   7.1140655813e-02   1.0965905005e-05   2.6927155648e-07   1.8115686019e-08   3.0917373165e-06   1.8245615874e-05   2.4624049136e-02   1.1882488391e-01   9.3461179707e-07   1.0063311342e-05   1.6186904882e-08   7.3116670433e-01
   3.9600000000e-04   4.8933808218e-02   1.6761616129e+03  -4.1909036410e+05   2.0340315120e-01   3.9490589044e-04   9.8068748769e-05   1.2502111188e-03   4.3765566996e-02   2.1656368652e-03   7.3702745684e-02   9.9632251318e-06   6.5821114985e-07   4.2291311193e-08   6.7851964813e-06   3.3381311457e-05   2.7217045568e-02   1.2162958908e-01   1.7649824001e-06   1.9657915366e-05   3.8172198901e-08   7.2970518468e-01
   4.2000000000e-04   5.0908661253e-02   1.7107959852e+03  -4.3039812801e+05   1.9889828801e-01   4.5162118260e-04   9.9277576346e-05   1.0998258923e-03   3.7819361113e-02   2.1430466458e-03   7.6119643721e-02   9.3467396882e-06   1.5825340594e-06   9.7285990923e-08   1.5039512950e-05   6.1365728116e-05   3.0025496939e-02   1.2382429639e-01   3.2534503791e-06   3.7877939910e-05   8.7604261018e-08   7.2828753502e-01
   4.4400000000e-04   5.2829319692e-02   1.7430289777e+03  -4.3888676854e+05   1.9482953820e-01   5.1558013807e-04   9.8600972218e-05   9.2288830558e-04   3.2456117313e-02   2.0515447589e-03   7.8376704397e-02   9.1524941081e-06   3.6582801998e-06   2.1607752298e-07   3.3185252602e-05   1.1228559671e-04   3.3016472805e-02   1.2541346128e-01   5.6887522367e-06   7.0437073964e-05   1.9189967532e-07   7.2691506013e-01
   4.6800000000e-04   5.4702550509e-02   1.7725597056e+03  -4.4448344650e+05   1.9119071884e-01   5.8633182546e-04   9.5828975451e-05   7.3058434628e-04   2.7705425581e-02   1.8898074112e-03   8.0449947774e-02   9.3396740580e-06   7.9012163351e-06   4.5077313508e-07   7.1389186543e-05   2.0245140282e-04   3.6121797437e-02   1.2642170617e-01   9.1513007289e-06   1.2326537945e-04   3.9129464053e-07   7.2557298589e-01
   4.9200000000e-04   5.6539411344e-02   1.7988619433e+03  -4.4725704335e+05   1.8800129784e-01   6.6239284127e-04   9.0822364847e-05   5.3944446136e-04   2.3589099104e-02   1.6669831229e-03   8.2311068977e-02   9.7413763311e-06   1.5471338322e-05   8.5656161307e-07   1.4600720360e-04   3.5600685663e-04   3.9234909463e-02   1.2690575977e-01   1.3169735337e-05   1.9810141161e-04   7.2285612329e-07   7.2426068771e-01
   5.1600000000e-04   5.8355113667e-02   1.8212806722e+03  -4.4748484942e+05   1.8529371329e-01   7.4109133489e-04   8.3599372213e-05   3.6864549330e-04   2.0109356547e-02   1.4046398157e-03   8.3930082052e-02   1.0097492290e-05   2.6777762646e-05   1.4431231108e-06   2.7704824736e-04   6.0476865093e-04   4.2220755034e-02   1.2695171711e-01   1.6643281439e-05   2.8725104382e-04   1.1822976632e-06   7.2296365731e-01
   5.4000000000e-04   6.0166352646e-02   1.8392631393e+03  -4.4572482218e+05   1.8309105006e-01   8.1891769714e-04   7.4469088102e-05   2.3344441438e-04   1.7241273382e-02   1.1327121126e-03   8.5287827993e-02   1.0186046235e-05   4.0377192075e-05   2.1213900509e-06   4.7919042252e-04   9.8508845803e-04   4.4947538683e-02   1.2667245021e-01   1.8419856863e-05   3.7395121879e-04   1.6905500925e-06   7.2168158609e-01
   5.6400000000e-04   6.1987327379e-02   1.8526058452e+03  -4.4281571887e+05   1.8138667913e-01   8.9225265857e-04   6.4090467954e-05   1.3887154208e-04   1.4930673948e-02   8.7971482928e-04   8.6380964015e-02   9.9361395713e-06   5.3006575260e-05   2.7168365533e-06   7.5032461054e-04   1.5320282003e-03   4.7320259404e-02   1.2618458257e-01   1.8106835701e-05   4.4131174594e-04   2.1147482800e-06   7.2039780119e-01
   5.8800000000e-04   6.3827178034e-02   1.8615355951e+03  -4.3973326880e+05   1.8013990215e-01   9.5820400969e-04   5.3354773734e-05   7.9540355012e-05   1.3102491169e-02   6.6406209082e-04   8.7227212159e-02   9.4146324075e-06   6.1287662487e-05   3.0661004790e-06   1.0676541364e-03   2.2731379164e-03   4.9300544498e-02   1.2559291443e-01   1.6205229594e-05   4.8158778934e-04   2.3428817066e-06   7.1910822465e-01
   6.1200000000e-04   6.5690039315e-02   1.8665920048e+03  -4.3735916627e+05   1.7928754327e-01   1.0150316123e-03   4.3128770591e-05   4.5140021020e-05   1.1672392678e-02   4.9193587510e-04   8.7856781955e-02   8.7335488465e-06   6.3593472087e-05   3.1075213238e-06   1.3955671105e-03   3.2239442334e-03   5.0899100814e-02   1.2497214227e-01   1.3556689363e-05   4.9676368341e-04   2.3425374676e-06   7.1779549389e-01
   6.3600000000e-04   6.7576566950e-02   1.8684425080e+03  -4.3630470726e+05   1.7875951010e-01   1.0622102029e-03   3.4043457816e-05   2.6013390851e-05   1.0558619754e-02   3.6079195556e-04   8.8307840447e-02   7.9844368462e-06   6.0481218453e-05   2.8894619102e-06   1.6987288006e-03   4.3862546972e-03   5.2159198713e-02   1.2436965601e-01   1.0838865582e-05   4.9319314029e-04   2.1581678565e-06   7.1646034144e-01
   6.6000000000e-04   6.9485487462e-02   1.8677449673e+03  -4.3686266249e+05   1.7848953914e-01   1.1001407169e-03   2.6418601502e-05   1.5460343254e-05   9.6887441629e-03   2.6399732986e-04   8.8616410261e-02   7.2243242883e-06   5.3818495958e-05   2.5165746958e-06   1.9517299557e-03   5.7488619524e-03   5.3136302411e-02   1.2380611181e-01   8.4253138569e-06   4.7717873551e-04   1.8691767556e-06   7.1509354691e-01
   6.8400000000e-04   7.1414649754e-02   1.8650790624e+03  -4.3905970744e+05   1.7842020424e-01   1.1298496715e-03   2.0305856456e-05   9.5401898654e-06   9.0032618636e-03   1.9407613134e-04   8.8816046042e-02   6.4865220911e-06   4.5663929490e-05   2.0926054573e-06   2.1424985499e-03   7.2906247588e-03   5.3887327961e-02   1.2328858532e-01   6.4535988130e-06   4.5356315520e-04   1.5502012903e-06   7.1370331748e-01
   7.0800000000e-04   7.3361653225e-02   1.8609231563e+03  -4.4274908540e+05   1.7850436485e-01   1.1526274850e-03   1.5577174278e-05   6.1203009366e-06   8.4553967670e-03   1.4425599703e-04   8.8932820579e-02   5.7914930461e-06   3.7573390716e-05   1.6898010561e-06   2.2706520177e-03   8.9844245982e-03   5.4461631760e-02   1.2281295745e-01   4.9248302841e-06   4.2581113913e-04   1.2515506503e-06   7.1228525116e-01
   7.3200000000e-04   7.5324212789e-02   1.8556546208e+03  -4.4769973504e+05   1.7870482525e-01   1.1698289266e-03   1.2014828747e-05   4.0783415145e-06   8.0100326728e-03   1.0900313457e-04   8.8988777317e-02   5.1526789808e-06   3.0420235905e-05   1.3445647192e-06   2.3436674892e-03   1.0801695994e-02   5.4900535696e-02   1.2237395233e-01   3.7775060378e-06   3.9638491875e-04   9.9763925371e-07   7.1084957920e-01
   7.5600000000e-04   7.7300354988e-02   1.8495613378e+03  -4.5366230319e+05   1.7899313480e-01   1.1826719458e-03   9.3776264194e-06   2.8188050987e-06   7.6412422032e-03   8.4055070863e-05   8.8999036676e-02   4.5779254812e-06   2.4518522312e-05   1.0665128986e-06   2.3726571177e-03   1.2715505629e-02   5.5235187481e-02   1.2196320238e-01   2.9314655058e-06   3.6697533575e-04   7.9405901737e-07   7.0939213919e-01
   7.8000000000e-04   7.9288495620e-02   1.8428576723e+03  -4.6040874216e+05   1.7934803902e-01   1.1922060220e-03   7.4423204383e-06   2.0174544499e-06   7.3304383728e-03   6.6272081606e-05   8.8976253209e-02   4.0701848807e-06   1.9841737798e-05   8.5036758956e-07   2.3692721251e-03   1.4703020629e-02   5.5490004927e-02   1.2157551546e-01   2.3109625009e-06   3.3868288567e-04   6.3616765289e-07   7.0792240818e-01
