1_pos,2_posf,3_rho,4_dvisc,5_uvel,6_vvel,7_wvel,8_temp,9_mixf,10_chi,11_hr,12_y_H2,13_y_H,14_y_O,15_y_O2,16_y_OH,17_y_H2O,18_y_HO2,19_y_CH2,20_y_CH2(S),21_y_CH3,22_y_CH4,23_y_CO,24_y_CO2,25_y_HCO,26_y_CH2O,27_y_CH2OH,28_y_N2,29_enth,30_progVar,hr_queried,temp_queried,CO_queried,OH_queried,CO2_queried
-0.72520504924,-0.75,1.1719838963,1.8630701948e-05,4.2372648255e-12,4.6684565648e-17,4.6684565648e-17,300.00002451,0.0,1.051819762e-24,3.4353209493e-19,3.0275064057e-19,7.7516676425e-35,6.4558602602e-20,0.233,6.9259615113e-18,1.9937413855e-12,4.6031448797e-19,1.2168499586e-44,6.2935325836e-46,2.9233528657e-29,2.175832283e-23,5.7722372299e-17,2.4351813209e-12,1.4244808442e-43,1.6021185241e-27,1.0669091225e-48,0.767,1907.6015894,4.4289807315229395e-12,0.0,300.0,0.0,0.0,0.0
-0.67541033731,-0.70041009849,1.1719838949,1.8630701966e-05,4.0688763123e-11,8.0534551517e-16,8.0534551517e-16,300.00002488,0.0,2.0316972132e-23,3.1538681893e-17,2.9550954657e-18,7.0520004835e-33,6.0977402635e-19,0.23299999996,6.6504497778e-17,1.9146653671e-11,4.4430858785e-18,1.8200466552e-42,9.4132586166e-44,4.5536096842e-28,1.5430482835e-22,5.6428490761e-16,2.338595345e-11,2.1657163751e-41,2.5388007185e-26,1.59577969e-46,0.76699999999,1907.6015539,4.253317436100308e-11,0.0,300.0,0.0,0.0,0.0
-0.62541081496,-0.65041057613,1.1719838832,1.8630702103e-05,3.2595818211e-10,1.250827987e-14,1.250827987e-14,300.00002785,0.0,9.307335024e-22,2.0208305046e-15,2.4327481985e-17,4.4677914878e-31,4.7988916555e-18,0.23299999971,5.3306321583e-16,1.5348651973e-10,3.5928184406e-17,2.008044441e-40,1.038558118e-41,6.2678547185e-27,9.0437125798e-22,4.6538039698e-15,1.8747008655e-10,2.4226982634e-39,3.5456733576e-25,1.7606124584e-44,0.76699999995,1907.6012759,3.4096128441145176e-10,0.0,300.0,0.0,0.0,0.0
-0.5754112926,-0.60041105378,1.1719838062,1.8630703012e-05,2.2127766683e-09,1.7953271702e-13,1.7953271702e-13,300.00004747,0.0,3.0207548947e-20,9.3462281512e-14,1.7357728385e-16,2.0347458662e-29,3.1934090369e-17,0.23299999804,3.622729183e-15,1.0433361572e-09,2.4835947847e-16,1.7127035392e-38,8.8580825393e-40,7.8663034719e-26,4.4416822882e-21,3.3276463382e-14,1.2743395183e-09,2.088348181e-37,4.4995820711e-24,1.5016642966e-42,0.76699999964,1907.5994343,2.317709125540666e-09,0.0,300.0,0.0,0.0,0.0
-0.52541177024,-0.55041153142,1.1719833781,1.8630708065e-05,1.2670096344e-08,2.322349646e-12,2.322349646e-12,300.00015652,0.0,7.0236091856e-19,3.1110732104e-12,1.0933784021e-15,6.6173444379e-28,1.7875225201e-16,0.23299998874,2.0779539143e-14,5.9884045104e-09,1.4756434098e-15,1.1110023209e-36,5.7460935868e-38,8.896182719e-25,1.8368703734e-20,2.1014821534e-13,7.3142583859e-09,1.3631968419e-35,5.1222622708e-23,9.741072201e-41,0.76699999795,1907.5892005,1.330287413789374e-08,0.0,300.0,0.0,0.0,0.0
-0.47541224788,-0.50041200906,1.1719813706,1.8630731761e-05,6.1474997505e-08,2.6279597853e-11,2.6279597853e-11,300.00066792,0.0,1.2122977956e-17,7.6242688645e-11,6.3418410169e-15,1.5614763029e-26,8.454763066e-16,0.23299994515,1.0105589838e-13,2.9178993433e-08,7.7195075913e-15,5.4000833443e-35,2.7929239623e-36,8.8912878083e-24,6.6471307772e-20,1.2226783229e-12,3.5639024378e-08,6.6371308058e-34,5.1285539083e-22,4.7347556333e-39,0.76699999003,1907.5412073,6.481924683116393e-08,0.0,300.0,0.0,0.0,0.0
-0.42541272558,-0.45041248671,1.1719732596,1.86308275e-05,2.5698038468e-07,2.5409411228e-10,2.5409411228e-10,300.00273418,0.0,1.6195423355e-16,1.4544918286e-09,3.5715813553e-14,2.8020097799e-25,3.4402739348e-15,0.232999769,4.2346321623e-13,1.22879236e-07,3.7194815282e-14,1.9581549822e-33,1.0127667064e-34,7.6941776975e-23,2.3381460751e-19,6.9123607931e-12,1.500811921e-07,2.4013085734e-32,4.4275313844e-21,1.7169814939e-37,0.76699995803,1907.3472938,2.729673761766067e-07,0.0,300.0,0.0,0.0,0.0
-0.37541320401,-0.40041296445,1.1719443888,1.8631168288e-05,9.42899827e-07,2.0360984877e-09,2.0360984877e-09,300.01008916,0.0,1.7048828759e-15,2.2899838733e-08,1.9723219194e-13,4.0464641044e-24,1.2321032003e-14,0.23299914199,1.5556709036e-12,4.5641593313e-07,1.7124092566e-13,5.2228849791e-32,2.7013819437e-33,5.5865186332e-22,9.1983950605e-19,3.8352483609e-11,5.5743418128e-07,6.3726687029e-31,3.1975992501e-20,4.5804204157e-36,0.76699984412,1906.6570353,1.013888664125801e-06,0.0,300.00000000000006,0.0,0.0,0.0
-0.32541368828,-0.35041344357,1.1718532867,1.8632243729e-05,3.0613094725e-06,1.2988395672e-08,1.2988395672e-08,300.03330021,0.0,1.3229829897e-14,2.9994120841e-07,1.0029745582e-12,4.8211522888e-23,3.9381139133e-14,0.23299716322,5.0405568084e-12,1.5090281585e-06,7.4133212669e-13,9.88415998e-31,5.1127772317e-32,3.2633642019e-21,4.0210714394e-18,1.9608150566e-10,1.8429153734e-06,1.1982810159e-29,1.8550318409e-19,8.6731228104e-35,0.76699948463,1904.4786352,3.3521406163802183e-06,0.0,300.00000000000006,0.0,0.0,0.0
-0.27541420136,-0.30041393298,1.1716102961,1.8635112789e-05,8.5570277701e-06,6.2510279985e-08,6.2510279985e-08,300.09522705,0.0,6.3454845795e-14,2.9588345957e-06,4.2225707536e-12,4.3999376334e-22,1.0945581135e-13,0.23299188379,1.3992155061e-11,4.3175052314e-06,2.7702590835e-12,1.2186612726e-29,6.3053760617e-31,1.4499447412e-20,1.6176795613e-17,8.3022820422e-10,5.2723871394e-06,1.4677846021e-28,8.1821331636e-19,1.0709301609e-33,0.76699852547,1898.6664214,9.590726821574973e-06,0.0,300.0,0.0,0.0,0.0
