# L (m)  = 0.004
# P (Pa) = 101325
#             001_x           002_mixf              003_T              004_h             005_pv        006_density             007_H2              008_H              009_O             010_O2             011_OH            012_H2O            013_HO2            014_CH2         015_CH2(S)            016_CH3            017_CH4             018_CO            019_CO2            020_HCO           021_CH2O          022_CH2OH             023_N2
   2.1000000000e-04   4.0340319925e-02   1.5843248435e+03  -1.8918564592e+05   1.8200640672e-01   2.1044275905e-01   4.1529044327e-04   1.9639674235e-04   2.8158217311e-03   7.5671160870e-02   3.2286209403e-03   8.3411125223e-02   1.9153513557e-05   2.1556563917e-08   1.8780735651e-09   2.5521211590e-07   1.9116909616e-06   2.1837322676e-02   7.6342668380e-02   1.9890322037e-07   1.0740260033e-06   1.5956650647e-09   7.3605897462e-01
   2.3000000000e-04   4.3075058399e-02   1.6398986748e+03  -2.0213119155e+05   1.9313389881e-01   2.0238618112e-01   5.0125899892e-04   2.2207655076e-04   2.8773755921e-03   6.6138660625e-02   3.6431896978e-03   8.8331213858e-02   1.6504540754e-05   6.0968390064e-08   5.0990966272e-09   5.9706802980e-07   3.5677876843e-06   2.4240723737e-02   8.0060702215e-02   3.6499615925e-07   2.2636118571e-06   4.4459337719e-09   7.3396143021e-01
   2.5000000000e-04   4.5740614529e-02   1.6911081724e+03  -2.1474641534e+05   2.0370717090e-01   1.9536645931e-01   6.0222998619e-04   2.4586443339e-04   2.8440782039e-03   5.7263840139e-02   3.9935754119e-03   9.3006758135e-02   1.4224638680e-05   1.7710144052e-07   1.4129764165e-08   1.4599922085e-06   6.9651757107e-06   2.6864455152e-02   8.3233727631e-02   7.3543060816e-07   4.9333110127e-06   1.2470817476e-08   7.3191694866e-01
   2.7000000000e-04   4.8344672228e-02   1.7384534680e+03  -2.2706752636e+05   2.1374506843e-01   1.8918617083e-01   7.2061619288e-04   2.6656275770e-04   2.7137956722e-03   4.9060444052e-02   4.2513493569e-03   9.7451893861e-02   1.2297566582e-05   5.2162977287e-07   3.9607783265e-08   3.7019819495e-06   1.4052902035e-05   2.9721311934e-02   8.5851246446e-02   1.5621317595e-06   1.0932662710e-05   3.4843776632e-08   7.2991963640e-01
   2.9000000000e-04   5.0893815282e-02   1.7822858916e+03  -2.3912554259e+05   2.2324388557e-01   1.8370465860e-01   8.5971676413e-04   2.8271855957e-04   2.4863150582e-03   4.1558787575e-02   4.3853970322e-03   1.0166498431e-01   1.0746083832e-05   1.5235670481e-06   1.1039506556e-07   9.6072127182e-06   2.8943144947e-05   3.2807153751e-02   8.7912030745e-02   3.3384321871e-06   2.4088387818e-05   9.5300335796e-08   7.2796444368e-01
   3.1000000000e-04   5.3393943255e-02   1.8227333402e+03  -2.5094825913e+05   2.3216506848e-01   1.7883196565e-01   1.0232483061e-03   2.9253747439e-04   2.1664969477e-03   3.4808448740e-02   4.3629808239e-03   1.0562414302e-01   9.6132705536e-06   4.2742744297e-06   2.9746857510e-07   2.4988952238e-05   6.0060070942e-05   3.6089468814e-02   8.9428208340e-02   6.8469977686e-06   5.1292313118e-05   2.4866490918e-07   7.2604684552e-01
   3.3000000000e-04   5.5850775304e-02   1.8595674827e+03  -2.6256263018e+05   2.4041852440e-01   1.7453136595e-01   1.2137302505e-03   2.9383376468e-04   1.7706647441e-03   2.8874805147e-02   4.1563282159e-03   1.0928378399e-01   8.9164190078e-06   1.1079735037e-05   7.4594114038e-07   6.3262434663e-05   1.2379499009e-04   3.9490217308e-02   9.0430792854e-02   1.2859499688e-05   1.0213049127e-04   5.9887244755e-07   7.2416245534e-01
   3.5000000000e-04   5.8270495052e-02   1.8920698330e+03  -2.7399781546e+05   2.4785197160e-01   1.7082261616e-01   1.4294670169e-03   2.8420915729e-04   1.3342049849e-03   2.3823415375e-02   3.7575226621e-03   1.1257632101e-01   8.5832521220e-06   2.5474225248e-05   1.6667414752e-06   1.5052838220e-04   2.4960054862e-04   4.2870269094e-02   9.0975914473e-02   2.1154391269e-05   1.8385485395e-04   1.2835333705e-06   7.2230653029e-01
   3.7000000000e-04   6.0660390516e-02   1.9190833137e+03  -2.8528819930e+05   2.5427058581e-01   1.6776843257e-01   1.6613470144e-03   2.6186985672e-04   9.1197626656e-04   1.9690588732e-02   3.1971218948e-03   1.1542479645e-01   8.4340170956e-06   5.0062293133e-05   3.1847732537e-06   3.2517163610e-04   4.8470302843e-04   4.6036435110e-02   9.1148007228e-02   2.9408244580e-05   2.9104619366e-04   2.3667835098e-06   7.2047348047e-01
   3.9000000000e-04   6.3029058484e-02   1.9394555418e+03  -2.9647434809e+05   2.5950563931e-01   1.6542914611e-01   1.8926500692e-03   2.2727259489e-04   5.6120976736e-04   1.6451908145e-02   2.5494805333e-03   1.1776763393e-01   8.2673776256e-06   8.1952548072e-05   5.0533830939e-06   6.2090038131e-04   8.9406786872e-04   4.8792050118e-02   9.1053305194e-02   3.3947317246e-05   3.9992178452e-04   3.6668489597e-06   7.1865671214e-01
   4.1000000000e-04   6.5385770765e-02   1.9527127935e+03  -3.0760000822e+05   2.6350160233e-01   1.6380462645e-01   2.1040738958e-03   1.8448069684e-04   3.1352397604e-04   1.4011643308e-02   1.9096841186e-03   1.1958429263e-01   7.9774120872e-06   1.1086260785e-04   6.5941635619e-06   1.0353138673e-03   1.5509133312e-03   5.1012605236e-02   9.0800630569e-02   3.2798295378e-05   4.8075524092e-04   4.7368299486e-06   7.1684911382e-01
   4.3000000000e-04   6.7739211290e-02   1.9593812119e+03  -3.1870613768e+05   2.6635004585e-01   1.6281315658e-01   2.2810258825e-03   1.4023621585e-04   1.6313037525e-04   1.2223994595e-02   1.3552441987e-03   1.2090472270e-01   7.5667999930e-06   1.2534978102e-04   7.1599305664e-06   1.5138544550e-03   2.5180104297e-03   5.2685906156e-02   9.0478391109e-02   2.7349436108e-05   5.1888114126e-04   5.1518483227e-06   7.1504402494e-01
   4.5000000000e-04   7.0096377775e-02   1.9606891582e+03  -3.2982572246e+05   2.6824603383e-01   1.6232271965e-01   2.4176632694e-03   1.0091052923e-04   8.2016903375e-05   1.0930320882e-02   9.2343513578e-04   1.2179844624e-01   7.0732898325e-06   1.2160617919e-04   6.6537374318e-06   1.9733197576e-03   3.8275089345e-03   5.3887577107e-02   9.0142347213e-02   2.0523265491e-05   5.1968876597e-04   4.8305428980e-06   7.1323607825e-01
   4.7000000000e-04   7.2462230972e-02   1.9580362515e+03  -3.4098212653e+05   2.6941579785e-01   1.6219710679e-01   2.5160955502e-03   7.0026606772e-05   4.1426975777e-05   9.9891222419e-03   6.1446331156e-04   1.2235381245e-01   6.5232422347e-06   1.0475817519e-04   5.4932135275e-06   2.3447570771e-03   5.4704216038e-03   5.4727373032e-02   8.9818516818e-02   1.4447425678e-05   4.9725909963e-04   4.0343304975e-06   7.1142146884e-01
   4.9000000000e-04   7.4839999978e-02   1.9526379651e+03  -3.5219053886e+05   2.7006423380e-01   1.6232355103e-01   2.5830836832e-03   4.7989620751e-05   2.1740319145e-05   9.2897701574e-03   4.0730397290e-04   1.2265861710e-01   5.9377432604e-06   8.3172686057e-05   4.1952662978e-06   2.5988899780e-03   7.4021476987e-03   5.5308579339e-02   8.9513953676e-02   9.8931865284e-06   4.6389040819e-04   3.1151429316e-06   7.0959772002e-01
   5.1000000000e-04   7.7231720953e-02   1.9454081291e+03  -3.6346051905e+05   2.7035243163e-01   1.6261959066e-01   2.6267164706e-03   3.3295296665e-05   1.2143769759e-05   8.7533982094e-03   2.7459796772e-04   1.2278750228e-01   5.3460248185e-06   6.3109868672e-05   3.0815248511e-06   2.7431013334e-03   9.5599560555e-03   5.5711208518e-02   8.9227004360e-02   6.7896755561e-06   4.2716945020e-04   2.3091652729e-06   7.0776327003e-01
   5.3000000000e-04   7.9638706220e-02   1.9369774320e+03  -3.7479821260e+05   2.7039572989e-01   1.6302925785e-01   2.6542322754e-03   2.3871149453e-05   7.3155489759e-06   8.3272874654e-03   1.9162573024e-04   1.2279700042e-01   4.7815906970e-06   4.7240885434e-05   2.2495321205e-06   2.8036852106e-03   1.1881599668e-02   5.5990944171e-02   8.8953553028e-02   4.7740924379e-06   3.9102846260e-04   1.6984404584e-06   7.0591711233e-01
   5.5000000000e-04   8.2061855156e-02   1.9277591123e+03  -3.8620781796e+05   2.7027153530e-01   1.6351623860e-01   2.6711203744e-03   1.7884310387e-05   4.7612604099e-06   7.9775480672e-03   1.3978302510e-04   1.2272632479e-01   4.2705187390e-06   3.5717041158e-05   1.6695364545e-06   2.8094356676e-03   1.4316813500e-02   5.6184394440e-02   8.8689695687e-02   3.4817598815e-06   3.5727367563e-04   1.2692449355e-06   7.0405855709e-01
   5.7000000000e-04   8.4501832243e-02   1.9180169139e+03  -3.9769242684e+05   2.7002973142e-01   1.6405748117e-01   2.6811105826e-03   1.4011490570e-05   3.3217840666e-06   7.6826836732e-03   1.0664267881e-04   1.2260102113e-01   3.8253819507e-06   2.7641377665e-05   1.2738108357e-06   2.7831587276e-03   1.6830415963e-02   5.6315159370e-02   8.8432440337e-02   2.6407859467e-06   3.2658284839e-04   9.7538350696e-07   7.0218709467e-01
   5.9000000000e-04   8.6959161875e-02   1.9079186846e+03  -4.0925447101e+05   2.6970194556e-01   1.6463835528e-01   2.6865625454e-03   1.1405469991e-05   2.4514310130e-06   7.4289036480e-03   8.4564783168e-05   1.2243713104e-01   3.4468585753e-06   2.1983967679e-05   1.0007519064e-06   2.7399038245e-03   1.9400167777e-02   5.6398604328e-02   8.8179647646e-02   2.0747760250e-06   2.9905587949e-04   7.7243112509e-07   7.0030232284e-01
   6.1000000000e-04   8.9434278300e-02   1.8975731376e+03  -4.2089595828e+05   2.6930839123e-01   1.6524939399e-01   2.6889140543e-03   9.5618338682e-06   1.8871120657e-06   7.2070810454e-03   6.9099245312e-05   1.2224463417e-01   3.1285964331e-06   1.7931329916e-05   8.0657651246e-07   2.6884394509e-03   2.2012943307e-02   5.6445041832e-02   8.7929801169e-02   1.6773530279e-06   2.7451629608e-04   6.2808368519e-07   6.9840390854e-01
   6.3000000000e-04   9.1927553194e-02   1.8870529716e+03  -4.3261860218e+05   2.6886236679e-01   1.6588426278e-01   2.6890368423e-03   8.1909709366e-06   1.4978336202e-06   7.0109141088e-03   5.7720741744e-05   1.2202984694e-01   2.8615698566e-06   1.4931027998e-05   6.6334505114e-07   2.6334194031e-03   2.4661283223e-02   5.6461677808e-02   8.7681805209e-02   1.3863191602e-06   2.5267643557e-04   5.2152591105e-07   6.9649156670e-01
   6.5000000000e-04   9.4439312269e-02   1.8764086820e+03  -4.4442390072e+05   2.6837299899e-01   1.6653855163e-01   2.6874727483e-03   7.1273373349e-06   1.2155214027e-06   6.8358543953e-03   4.8993864633e-05   1.2179692339e-01   2.6367083968e-06   1.2632456009e-05   5.5395813956e-07   2.5771319633e-03   2.7340978460e-02   5.6453757791e-02   8.7434845063e-02   1.1652670290e-06   2.3322359442e-04   4.3998935034e-07   6.9456504749e-01
   6.7000000000e-04   9.6969846224e-02   1.8656766398e+03  -4.5631318768e+05   2.6784684601e-01   1.6720907055e-01   2.6845748696e-03   6.2741091983e-06   1.0028260127e-06   6.6784854099e-03   4.2080549130e-05   1.2154873365e-01   2.4460585183e-06   1.0817466708e-05   4.6795776668e-07   2.5206242924e-03   3.0049598828e-02   5.6425240013e-02   8.7188297483e-02   9.9234513927e-07   2.1586051774e-04   3.7568119849e-07   6.9262412795e-01
   6.9000000000e-04   9.9519418496e-02   1.8548838489e+03  -4.6828766941e+05   2.6728882196e-01   1.6789343626e-01   2.6805870160e-03   5.5721904946e-06   8.3794895828e-07   6.5361553970e-03   3.6469004320e-05   1.2128736128e-01   2.2830858425e-06   9.3487617994e-06   3.9878255593e-07   2.4643371160e-03   3.2785670951e-02   5.6379199739e-02   8.6941673922e-02   8.5390801196e-07   2.0032114619e-04   3.2373329957e-07   6.9066860601e-01
   7.1000000000e-04   1.0208827098e-01   1.8440508286e+03  -4.8034845175e+05   2.6670273730e-01   1.6858982293e-01   2.6756873328e-03   4.9836083432e-06   7.0735743880e-07   6.4067522494e-03   3.1829828804e-05   1.2101438454e-01   2.1425877046e-06   8.1372938249e-06   3.4215296078e-07   2.4084339623e-03   3.5548241324e-02   5.6318081577e-02   8.6694583843e-02   7.4104612188e-07   1.8637414821e-04   2.8098611321e-07   6.8869829616e-01
   7.3000000000e-04   1.0467662837e-01   1.8331934381e+03  -4.9249656067e+05   2.6609162568e-01   1.6929680538e-01   2.6700123447e-03   4.4827254206e-06   6.0218068332e-07   6.2885592618e-03   2.7940170144e-05   1.2073103917e-01   2.0204781131e-06   7.1231720111e-06   2.9516115147e-07   2.3529617829e-03   3.8336649256e-02   5.6243863942e-02   8.6446710219e-02   6.4769501411e-07   1.7382109450e-04   2.4530336769e-07   6.8671302604e-01
   7.5000000000e-04   1.0728470150e-01   1.8223240849e+03  -5.0473295774e+05   2.6545795031e-01   1.7001325611e-01   2.6636704686e-03   4.0515740557e-06   5.1635991590e-07   6.1801585954e-03   2.4643366604e-05   1.2043831650e-01   1.9135614864e-06   6.2649460431e-06   2.5576502563e-07   2.2979238018e-03   4.1150410312e-02   5.6158170751e-02   8.6197792595e-02   5.6959152664e-07   1.6249266645e-04   2.1519508235e-07   6.8471263395e-01
   7.7000000000e-04   1.0991268995e-01   1.8114525513e+03  -5.1705855276e+05   2.6480373747e-01   1.7073827533e-01   2.6567493907e-03   3.6775626931e-06   4.4570631904e-07   6.0803644618e-03   2.1828670421e-05   1.2013702328e-01   1.8193297020e-06   5.5341603243e-06   2.2252024505e-07   2.2433030293e-03   4.3989162601e-02   5.6062349767e-02   8.5947615036e-02   5.0371005552e-07   1.5224433292e-04   1.8963040793e-07   6.8269696681e-01
